id,customer_id,created_at,status,payment_method,shipping_cost,discount_code,discount_amount,reason,is_first_purchase,amount,total_amount
ORD-000001,998f42ac-720e-47c9-bb12-e3652f25a80a,2024-09-15 22:57:18.359670,processing,Credit Card,17.16,ONLY,25.22,,True,2251.73,2243.67
ORD-000002,fcecd6a9-e560-46aa-bbac-160c5276d445,2024-09-27 14:33:21.822759,completed,Google Pay,13.01,,0.0,,True,563.0,576.01
ORD-000003,fcecd6a9-e560-46aa-bbac-160c5276d445,2023-08-31 07:39:21.668518,completed,Apple Pay,19.74,,0.0,,True,1504.99,1524.73
ORD-000004,ccd590d9-07fc-43ee-9098-feb95d478307,2024-12-09 20:19:53.048462,shipped,Apple Pay,15.46,,0.0,,True,59.43,74.89
ORD-000005,ccd590d9-07fc-43ee-9098-feb95d478307,2024-08-21 11:41:16.023431,completed,Google Pay,19.21,,0.0,,True,3287.42,3306.63
ORD-000006,ccd590d9-07fc-43ee-9098-feb95d478307,2023-07-01 08:42:59.938076,completed,Bank Transfer,12.9,SOMEONE,27.95,,True,1373.03,1357.98
ORD-000007,ccd590d9-07fc-43ee-9098-feb95d478307,2024-03-29 04:56:29.806885,completed,Bank Transfer,17.66,,0.0,,True,797.19,814.85
ORD-000008,ccd590d9-07fc-43ee-9098-feb95d478307,2023-08-31 06:30:24.922398,completed,Apple Pay,18.76,,0.0,,True,3454.03,3472.79
ORD-000009,76e9b4b4-e015-4ab3-afe6-d20fe53ea7a8,2025-07-03 12:23:27.658958,completed,Apple Pay,7.36,,0.0,,True,9800.73,9808.09
ORD-000010,76e9b4b4-e015-4ab3-afe6-d20fe53ea7a8,2025-07-01 19:29:35.757269,completed,PayPal,8.35,,0.0,,True,1777.99,1786.34
ORD-000011,3dcc0b4a-cb2c-4e13-9193-84ee2bacd492,2025-07-05 14:54:39.771674,completed,Apple Pay,7.67,EIGHT,22.55,,True,6813.22,6798.34
ORD-000012,3dcc0b4a-cb2c-4e13-9193-84ee2bacd492,2025-06-28 21:20:11.422105,completed,Credit Card,12.44,,0.0,,True,486.91,499.35
ORD-000013,3dcc0b4a-cb2c-4e13-9193-84ee2bacd492,2025-06-25 03:15:10.846343,completed,Credit Card,9.79,,0.0,,True,2494.5,2504.29
ORD-000014,3dcc0b4a-cb2c-4e13-9193-84ee2bacd492,2025-06-29 08:07:45.339589,completed,Google Pay,15.94,,0.0,,True,603.34,619.28
ORD-000015,3dcc0b4a-cb2c-4e13-9193-84ee2bacd492,2025-07-02 03:07:57.046869,processing,Credit Card,15.4,,0.0,,True,2270.22,2285.62
ORD-000016,6b34492f-dae7-436b-9535-33827ea23bf3,2024-08-20 22:09:49.217546,completed,Bank Transfer,10.79,,0.0,,True,2223.66,2234.45
ORD-000017,eb1d2b52-3916-4b6f-9a92-058dd986b783,2025-01-24 20:08:02.054953,processing,Credit Card,10.63,,0.0,,True,4088.1,4098.73
ORD-000018,eb1d2b52-3916-4b6f-9a92-058dd986b783,2024-12-24 08:00:47.537014,shipped,Google Pay,6.57,,0.0,,True,4793.31,4799.88
ORD-000019,7a2c3d97-4bbd-4c95-8617-70035c9a13ff,2025-06-05 00:09:46.338629,completed,Bank Transfer,15.57,,0.0,,True,2227.97,2243.54
ORD-000020,7a2c3d97-4bbd-4c95-8617-70035c9a13ff,2023-12-17 12:44:10.704261,cancelled,Credit Card,9.97,,0.0,Wrong item,True,2714.47,2724.44
ORD-000021,e9c971e1-693a-4b5a-ac5b-027f8453b506,2024-08-21 01:37:38.776605,completed,Google Pay,10.89,,0.0,,True,3623.21,3634.1
ORD-000022,e9c971e1-693a-4b5a-ac5b-027f8453b506,2025-02-11 11:33:52.145273,processing,Bank Transfer,8.0,PAY,9.27,,True,3248.57,3247.3
ORD-000023,e9c971e1-693a-4b5a-ac5b-027f8453b506,2025-06-08 20:01:35.760418,completed,Apple Pay,18.42,CIVIL,21.05,,True,3482.32,3479.69
ORD-000024,38b737ba-8dc0-4848-8933-b22874cac399,2024-05-24 23:43:07.909339,shipped,Bank Transfer,8.39,CHANGE,6.54,,True,809.65,811.5
ORD-000025,38b737ba-8dc0-4848-8933-b22874cac399,2025-01-20 15:14:31.329660,processing,Google Pay,17.12,,0.0,,True,5540.71,5557.83
ORD-000026,38b737ba-8dc0-4848-8933-b22874cac399,2025-03-07 05:14:17.260272,completed,Google Pay,8.53,ACTIVITY,14.87,,True,1580.01,1573.67
ORD-000027,f14351b6-4a28-4873-895d-eb42d1bab18c,2025-06-20 08:45:25.896693,completed,Apple Pay,12.75,,0.0,,True,3409.07,3421.82
ORD-000028,b40bc471-0494-4991-aa1b-8929b600218f,2024-04-24 08:05:17.214496,completed,Credit Card,15.25,NEED,25.56,,True,4938.12,4927.81
ORD-000029,2f4f9eef-a1d6-4ae7-9606-1295c2e55865,2024-05-09 08:02:22.890109,completed,Google Pay,6.01,,0.0,,True,4313.3,4319.31
ORD-000030,2f4f9eef-a1d6-4ae7-9606-1295c2e55865,2025-01-13 15:45:43.320663,completed,Credit Card,16.73,MARKET,8.74,,True,8348.26,8356.25
ORD-000031,2f4f9eef-a1d6-4ae7-9606-1295c2e55865,2024-07-09 18:11:21.487332,completed,Credit Card,8.96,,0.0,,True,5240.49,5249.45
ORD-000032,fe77394a-5c34-4dc5-9f05-54b83416525f,2024-04-12 09:23:53.079359,completed,Apple Pay,18.18,,0.0,,True,2693.37,2711.55
ORD-000033,97a30dd6-8237-4cc0-aa47-b55b9d27e970,2025-03-23 21:50:30.718751,completed,Bank Transfer,9.03,,0.0,,True,2013.28,2022.31
ORD-000034,d23c2cda-8446-447d-b70a-f9848cb085ac,2025-04-29 04:36:56.253827,completed,Credit Card,18.03,POOR,29.36,,True,1463.87,1452.54
ORD-000035,fb4ef0ed-72dd-4eaf-97c2-692679d371bb,2025-03-15 15:45:47.357520,completed,Google Pay,11.11,,0.0,,True,6803.76,6814.87
ORD-000036,fb4ef0ed-72dd-4eaf-97c2-692679d371bb,2024-12-24 16:00:59.528638,completed,Apple Pay,5.43,SOMEBODY,25.82,,True,96.69,76.3
ORD-000037,fb4ef0ed-72dd-4eaf-97c2-692679d371bb,2025-06-19 20:52:36.492451,shipped,PayPal,5.76,,0.0,,True,1969.02,1974.78
ORD-000038,c2f61222-e3e3-4f2d-9991-4d82826e3169,2025-02-14 20:11:11.188549,completed,Bank Transfer,14.53,EXPERT,5.76,,True,4106.25,4115.02
ORD-000039,c2f61222-e3e3-4f2d-9991-4d82826e3169,2025-06-27 17:02:34.333261,processing,Apple Pay,10.25,AMOUNT,27.36,,True,201.72,184.61
ORD-000040,12db3a08-8486-430b-9588-e931d4b1df1b,2023-11-05 09:34:02.069095,shipped,Credit Card,5.74,,0.0,,True,2221.13,2226.87
ORD-000041,ac618f5b-f519-4b72-bb42-28479fa2672e,2025-04-12 01:57:11.942758,completed,Google Pay,14.77,,0.0,,True,31.2,45.97
ORD-000042,ac618f5b-f519-4b72-bb42-28479fa2672e,2023-07-25 11:08:21.940788,cancelled,PayPal,14.71,,0.0,Found better price,True,10.53,25.24
ORD-000043,2235c64b-3b66-4f16-a325-83776cd866b5,2024-10-14 03:24:48.232028,cancelled,Google Pay,17.08,,0.0,Delayed shipping,True,1818.51,1835.59
ORD-000044,2235c64b-3b66-4f16-a325-83776cd866b5,2024-12-12 13:28:12.859069,completed,Bank Transfer,15.16,,0.0,,True,5633.98,5649.14
ORD-000045,b21e3959-ba6d-4788-b83e-b146520d6b2b,2025-05-25 16:54:15.556023,returned,Bank Transfer,9.48,ROLE,6.6,Found better price,True,5421.77,5424.65
ORD-000046,b21e3959-ba6d-4788-b83e-b146520d6b2b,2025-05-21 21:12:22.704879,completed,Apple Pay,14.77,MESSAGE,17.93,,True,317.61,314.45
ORD-000047,5eac7310-05c8-4fee-be17-d5eee6ef17d9,2025-04-12 08:04:06.405434,completed,Google Pay,9.79,DOWN,5.64,,True,4666.12,4670.27
ORD-000048,1e1eb3da-83b0-4ace-84a9-0932d4e7ff28,2025-07-06 16:56:23.789315,completed,Google Pay,17.24,,0.0,,True,4252.8,4270.04
ORD-000049,1e1eb3da-83b0-4ace-84a9-0932d4e7ff28,2025-07-04 20:21:40.224686,completed,Apple Pay,15.08,,0.0,,True,1021.01,1036.09
ORD-000050,1e1eb3da-83b0-4ace-84a9-0932d4e7ff28,2025-07-07 14:23:10.383592,completed,PayPal,12.06,,0.0,,True,3490.44,3502.5
ORD-000051,1e1eb3da-83b0-4ace-84a9-0932d4e7ff28,2025-07-08 13:47:18.820877,completed,Credit Card,9.97,TREATMENT,12.35,,True,977.92,975.54
ORD-000052,1e1eb3da-83b0-4ace-84a9-0932d4e7ff28,2025-07-06 00:29:08.486396,returned,Credit Card,14.52,,0.0,Changed mind,True,3813.42,3827.94
ORD-000053,ae5073b2-c618-4c7b-823d-5debda7b975f,2025-05-27 07:27:01.131604,completed,Apple Pay,8.0,,0.0,,True,5516.43,5524.43
ORD-000054,ae5073b2-c618-4c7b-823d-5debda7b975f,2025-03-21 21:32:01.311225,completed,Google Pay,5.07,THINK,24.03,,True,377.15,358.19
ORD-000055,825222ad-5db4-4f62-b37f-ec62e128a515,2024-10-23 15:37:38.999191,completed,Google Pay,16.7,LAY,15.84,,True,2662.64,2663.5
ORD-000056,1f8c3e85-d4a5-416c-9abd-9c17530877d0,2023-10-16 07:26:54.673965,completed,Credit Card,5.21,,0.0,,True,4087.65,4092.86
ORD-000057,1f8c3e85-d4a5-416c-9abd-9c17530877d0,2024-06-08 13:37:47.947109,completed,Apple Pay,13.83,TREATMENT,25.6,,True,2553.0,2541.23
ORD-000058,1f8c3e85-d4a5-416c-9abd-9c17530877d0,2024-10-30 13:34:02.401186,completed,Apple Pay,15.3,THOUSAND,29.9,,True,1756.6,1742.0
ORD-000059,df4139f3-c713-4db6-b7e9-1427d211804d,2024-09-20 06:41:38.944747,shipped,Google Pay,6.97,,0.0,,True,5125.1,5132.07
ORD-000060,a8dea0a4-58f6-427f-8fe4-9cba78f732b8,2024-10-17 11:24:47.889454,cancelled,Apple Pay,13.91,ENTER,7.7,Damaged,True,1018.85,1025.06
ORD-000061,a8dea0a4-58f6-427f-8fe4-9cba78f732b8,2025-02-27 11:05:53.968283,completed,PayPal,11.25,,0.0,,True,3490.6,3501.85
ORD-000062,18a294a9-3659-4ad6-8858-2df791b1c9d7,2025-01-29 17:03:12.740513,shipped,PayPal,9.05,,0.0,,True,1510.77,1519.82
ORD-000063,18a294a9-3659-4ad6-8858-2df791b1c9d7,2025-04-20 08:09:30.923432,completed,PayPal,14.27,ENTER,24.62,,True,2433.44,2423.09
ORD-000064,18a294a9-3659-4ad6-8858-2df791b1c9d7,2025-07-04 17:07:57.546059,processing,PayPal,5.59,,0.0,,True,1913.63,1919.22
ORD-000065,9553a32b-3ad6-419a-be41-6a11f6ee2717,2023-09-24 08:47:15.754978,shipped,PayPal,5.19,BLOOD,7.76,,True,2530.23,2527.66
ORD-000066,9553a32b-3ad6-419a-be41-6a11f6ee2717,2024-12-16 07:13:17.806486,completed,PayPal,19.83,MENTION,16.61,,True,752.66,755.88
